pseudo_user_id,question_id,response_time_ms,is_correct
pseudo_u1,q4135,17632.0,0
pseudo_u1,q5328,75913.0,1
pseudo_u1,q5221,19402.0,0
pseudo_u1,q4025,28653.0,1
pseudo_u1,q3633,16226.0,1
pseudo_u1,q6453,50068.0,1
pseudo_u1,q5948,62701.0,1
pseudo_u1,q6731,22047.0,0
pseudo_u1,q5421,51454.0,1
pseudo_u1,q4199,31959.0,0
pseudo_u1,q3698,64364.0,1
pseudo_u1,q5737,23451.0,1
pseudo_u1,q6497,15055.0,0
pseudo_u1,q5267,9846.0,1
pseudo_u1,q5057,18642.0,1
pseudo_u1,q5770,27795.0,1
pseudo_u1,q4775,27668.0,0
pseudo_u1,q5095,50936.0,1
pseudo_u1,q5401,12741.0,1
pseudo_u1,q3669,22621.0,1
pseudo_u2,q4135,24431.0,1
pseudo_u2,q5328,70611.0,0
pseudo_u2,q5221,49866.0,0
pseudo_u2,q4025,12727.0,1
pseudo_u2,q3633,29150.0,1
pseudo_u2,q6453,48593.0,0
pseudo_u2,q5948,20141.0,0
pseudo_u2,q6731,65063.0,0
pseudo_u2,q5421,7917.0,1
pseudo_u2,q4199,51662.0,1
pseudo_u2,q3698,10150.0,0
pseudo_u2,q5737,30982.0,1
pseudo_u2,q6497,65996.0,0
pseudo_u2,q5267,56530.0,0
pseudo_u2,q5057,82620.0,0
pseudo_u2,q5770,50534.0,0
pseudo_u2,q4775,22254.0,0
pseudo_u2,q5095,25918.0,0
pseudo_u2,q5401,39999.0,1
pseudo_u2,q3669,43887.0,0
pseudo_u3,q4135,22612.0,0
pseudo_u3,q5328,27886.0,1
pseudo_u3,q5221,11402.0,1
pseudo_u3,q4025,22309.0,1
pseudo_u3,q3633,19417.0,0
pseudo_u3,q6453,14562.0,0
pseudo_u3,q5948,26599.0,1
pseudo_u3,q6731,4413.0,1
pseudo_u3,q5421,2691.0,1
pseudo_u3,q4199,31445.0,1
pseudo_u3,q3698,39213.0,0
pseudo_u3,q5737,45826.0,1
pseudo_u3,q6497,33053.0,1
pseudo_u3,q5267,16378.0,0
pseudo_u3,q5057,37046.0,0
pseudo_u3,q5770,21153.0,1
pseudo_u3,q4775,15911.0,1
pseudo_u3,q5095,51485.0,0
pseudo_u3,q5401,26739.0,1
pseudo_u3,q3669,27499.0,1
pseudo_u4,q4135,26030.0,0
pseudo_u4,q5328,26566.0,1
pseudo_u4,q5221,5977.0,0
pseudo_u4,q4025,85376.0,0
pseudo_u4,q3633,13225.0,1
pseudo_u4,q6453,34321.0,0
pseudo_u4,q5948,15278.0,0
pseudo_u4,q6731,31774.0,0
pseudo_u4,q5421,21450.0,1
pseudo_u4,q4199,36680.0,0
pseudo_u4,q3698,25363.0,0
pseudo_u4,q5737,41383.0,1
pseudo_u4,q6497,70852.0,0
pseudo_u4,q5267,213132.0,0
pseudo_u4,q5057,34226.0,0
pseudo_u4,q5770,33413.0,0
pseudo_u4,q4775,11892.0,1
pseudo_u4,q5095,23901.0,1
pseudo_u4,q5401,17428.0,1
pseudo_u4,q3669,41863.0,0
pseudo_u5,q4135,19479.0,1
pseudo_u5,q5328,57393.0,0
pseudo_u5,q5221,17261.0,1
pseudo_u5,q4025,15327.0,0
pseudo_u5,q3633,67134.0,0
pseudo_u5,q6453,24972.0,1
pseudo_u5,q5948,37387.0,0
pseudo_u5,q6731,24810.0,0
pseudo_u5,q5421,24488.0,0
pseudo_u5,q4199,18530.0,1
pseudo_u5,q3698,31107.0,0
pseudo_u5,q5737,24679.0,0
pseudo_u5,q6497,76423.0,0
pseudo_u5,q5267,11100.0,1
pseudo_u5,q5057,35753.0,0
pseudo_u5,q5770,30014.0,1
pseudo_u5,q4775,64914.0,0
pseudo_u5,q5095,10192.0,1
pseudo_u5,q5401,34899.0,0
pseudo_u5,q3669,44044.0,0
pseudo_u6,q4135,36940.0,0
pseudo_u6,q5328,45730.0,1
pseudo_u6,q5221,113986.0,0
pseudo_u6,q4025,32777.0,0
pseudo_u6,q3633,36506.0,0
pseudo_u6,q6453,15943.0,1
pseudo_u6,q5948,4346.0,1
pseudo_u6,q6731,10096.0,0
pseudo_u6,q5421,44661.0,1
pseudo_u6,q4199,14915.0,1
pseudo_u6,q3698,21392.0,0
pseudo_u6,q5737,22901.0,1
pseudo_u6,q6497,14692.0,0
pseudo_u6,q5267,64732.0,0
pseudo_u6,q5057,157485.0,0
pseudo_u6,q5770,21599.0,1
pseudo_u6,q4775,24230.0,1
pseudo_u6,q5095,40970.0,0
pseudo_u6,q5401,34142.0,0
pseudo_u6,q3669,44856.0,1
pseudo_u7,q4135,22718.0,0
pseudo_u7,q5328,25215.0,1
pseudo_u7,q5221,27164.0,1
pseudo_u7,q4025,23907.0,1
pseudo_u7,q3633,25931.0,0
pseudo_u7,q6453,167180.0,0
pseudo_u7,q5948,1094.0,0
pseudo_u7,q6731,28793.0,1
pseudo_u7,q5421,43522.0,0
pseudo_u7,q4199,30135.0,1
pseudo_u7,q3698,23053.0,0
pseudo_u7,q5737,17765.0,1
pseudo_u7,q6497,37221.0,1
pseudo_u7,q5267,32319.0,0
pseudo_u7,q5057,48854.0,1
pseudo_u7,q5770,85668.0,0
pseudo_u7,q4775,25225.0,1
pseudo_u7,q5095,81352.0,1
pseudo_u7,q5401,57481.0,0
pseudo_u7,q3669,33178.0,0
pseudo_u8,q4135,384998.0,0
pseudo_u8,q5328,37841.0,0
pseudo_u8,q5221,28693.0,0
pseudo_u8,q4025,29385.0,0
pseudo_u8,q3633,42379.0,0
pseudo_u8,q6453,37649.0,0
pseudo_u8,q5948,20027.0,1
pseudo_u8,q6731,6651.0,1
pseudo_u8,q5421,34665.0,0
pseudo_u8,q4199,14241.0,1
pseudo_u8,q3698,25454.0,0
pseudo_u8,q5737,21297.0,0
pseudo_u8,q6497,18438.0,1
pseudo_u8,q5267,38705.0,1
pseudo_u8,q5057,36221.0,1
pseudo_u8,q5770,40258.0,0
pseudo_u8,q4775,58328.0,0
pseudo_u8,q5095,26782.0,0
pseudo_u8,q5401,78292.0,1
pseudo_u8,q3669,32402.0,0
pseudo_u9,q4135,57353.0,0
pseudo_u9,q5328,19322.0,1
pseudo_u9,q5221,39383.0,0
pseudo_u9,q4025,60299.0,0
pseudo_u9,q3633,11693.0,1
pseudo_u9,q6453,12770.0,1
pseudo_u9,q5948,6877.0,0
pseudo_u9,q6731,27066.0,0
pseudo_u9,q5421,94938.0,0
pseudo_u9,q4199,22340.0,1
pseudo_u9,q3698,119076.0,1
pseudo_u9,q5737,42032.0,1
pseudo_u9,q6497,42782.0,0
pseudo_u9,q5267,53662.0,1
pseudo_u9,q5057,25999.0,1
